Frame,Caption
Frame 1,A man in a red suit is holding a wire mesh basket filled with golden mannequin hands.
Frame 2,A man in a red blazer holds a wire-frame cage filled with robotic arms.
Frame 3,A man in a red suit is holding a cage filled with miniature robotic figures with metallic arms and hands.
Frame 4,A man in a red suit is holding a wire cage containing several robotic arms with attached restraints.
Frame 5,"A man in a red suit is holding a wire cage filled with robotic arms, each with a hooked hand."
Frame 6,"A man in a red suit is holding a wire-attached, robotic hand within a wire cage."
Frame 7,"In this frame, multiple robotic hands are crammed into a metal wire basket, seemingly held in place by some kind of mechanism."
Frame 8,"Three figures – a man in a blue jacket, an older man in a red jacket, and a woman in a cream-colored sweater – stand in a dimly lit hallway, observing a small table holding a statue."
Frame 9,"Three figures – a man in a red jacket, a black man, and a woman in a red sweater – stand in a dimly lit hallway, observing a small, ornate statue on a table."
Frame 10,"Three figures—a man in a jacket, an older man, and a woman in a sweater—are standing in a dimly lit hallway, observing a statue."
Frame 11,"A man in a red robe stands in front of a dark, ornate table with a statue, as a group of figures are partially visible behind him in a dimly lit hallway."
Frame 12,"A man in a red jacket stands in the doorway, partially obscured by the darkness."
Frame 13,"A shadowy figure appears briefly in the doorway of a dark room, partially obscured by the darkness."
Frame 14,"A shadowy figure is partially visible through the gap between two dark doors, framed by a brick wall."
Frame 15,"The frame shows a dark, closed pair of wooden doors framed by a brick wall, with a small light source illuminating the space between them."
Frame 16,"In a dimly lit room with a stark ceiling, a man in a patterned sweater and a man in a denim jacket are looking at each other with a concerned or apprehensive expression."
Frame 17,Here’s a one-sentence summary of the image: A man in a leather jacket and a woman in a knitted sweater sit closely together in a dimly lit room with a patterned ceiling overhead.
Frame 18,"The image shows a close-up of a pair of brown shoes walking on a textured, gray floor."
Frame 19,"A black shoe rests on a glossy, textured floor with a blurred background of people’s legs."
Frame 20,"Here’s a one-sentence summary of the image: A woman in a thick knit sweater looks apprehensive as a man in a leather jacket stands beside her in a dimly lit, institutional space."
Frame 21,"In a dimly lit, enclosed room, a woman in a gray sweater appears concerned while a man in a suit watches her with a serious expression."
Frame 22,"A hand in a metallic glove is holding a small, clear vial filled with a viscous, amber-colored liquid."
Frame 23,Here's a one-sentence summary of frame 23: A microphone is positioned close to a person's face as they are recording in a dimly lit room.
Frame 24,"A small, dark animal—likely a hamster—is shown jumping out of its cage towards the camera."
Frame 25,"Here’s a one-sentence summary of frame 25: A hand is seen reaching toward a metal cage with a dark figure visible inside, suggesting a potentially unsettling encounter."
Frame 26,"A hand is placing a dark handgun on a surface with a repeating pattern of small, circular indentations."
Frame 27,"A dark figure, likely a hand or arm, is partially visible on a gray surface covered in small, circular droplets."
Frame 28,Here’s a one-sentence summary of the image: A young woman with light brown hair is looking down with a troubled expression in a dimly lit setting.
Frame 29,"Here's a one-sentence summary of the image: A young woman with long, messy hair looks down with a somber expression in a dimly lit setting."
Frame 30,"Here's a one-sentence summary of the image: A young woman with blonde hair is looking down intently, appearing distressed or focused in a dimly lit setting."
Frame 31,"Here's a one-sentence summary of the image: A young woman with blonde hair, wearing a gray sweater, looks down intently with a serious expression in a dimly lit room."
Frame 32,"A woman in a dark room holds a black cell phone to her ear, appearing concerned or distressed."
Frame 33,Here’s a one-sentence summary of the image: A woman with blonde hair is holding a dark phone to her ear with a worried expression.
Frame 34,"Here's a one-sentence summary of the image: A young woman with a worried expression is holding a cell phone to her ear, seemingly in a tense or unsettling conversation."
Frame 35,"Here's a one-sentence summary of the image: A woman with blonde hair is intently listening to someone on the phone, with a concerned or serious expression on her face."
Frame 36,Here’s a one-sentence summary of the image: A man in a black shirt is intently speaking on a cell phone while a woman watches him with a concerned expression in a dimly lit room.
Frame 37,A man in a dark shirt is intently talking on a cell phone while a woman watches him with a concerned expression.
Frame 38,"Here’s a one-sentence summary of the image: A woman with blonde hair, wearing a blue sweater, is holding a telephone to her ear with a serious expression."
Frame 39,"Here’s a one-sentence summary of the image: A young woman with long hair is speaking intently into a cell phone, her expression focused and slightly concerned."
Frame 40,"Here's a one-sentence summary of the image: A woman with blonde hair is holding a telephone to her ear, appearing distressed or focused during a conversation."
Frame 41,"The young man in a black suit is in a state of panic, holding a phone to his ear with a horrified expression."
Frame 42,"Here’s a one-sentence summary of frame 42: A young man with a shocked expression is holding a telephone to his ear, seemingly reacting to a startling revelation."
Frame 43,"Here's a one-sentence summary of the image: A man in a dark suit is intently listening to someone on the phone, with a concerned and slightly alarmed expression."
Frame 44,"Here’s a one-sentence summary of the image: A young woman with blonde hair is holding a phone to her ear with a concerned expression, likely in a tense or urgent conversation."
Frame 45,"Here's a one-sentence summary of the image: A woman with short blonde hair is intently listening to a phone conversation, her hand resting on her ear, with a concerned expression."
Frame 46,"Here’s a one-sentence summary of the image: A young woman with blonde hair is looking down at a phone, seemingly engaged in a conversation, with a concerned expression on her face."
Frame 47,"Here’s a one-sentence summary of frame 47: A young woman with short brown hair is looking down intently while holding a phone to her ear, seemingly distressed."
Frame 48,Here’s a one-sentence summary of the image: A young woman with blonde hair is holding a cell phone to her ear while looking intently at the camera.
Frame 49,"Here’s a one-sentence summary of the image: A young woman, looking distressed, is holding a phone to her ear while standing in a dimly lit, crowded store."
Frame 50,"Here’s a one-sentence summary of the image: A woman with short brown hair is holding a cell phone to her ear, looking intently at the device while appearing distressed."
Frame 51,"Here’s a one-sentence summary of the image: A young woman with blonde hair is holding a phone to her ear, appearing concerned or worried."
Frame 52,"Here’s a one-sentence summary of the image: A young woman with blonde hair is intently speaking on a cell phone, her expression suggesting a moment of concern or urgency."
Frame 53,"In this frame, a man in a black leather jacket and glasses examines a shiny, metallic object with a curious expression."
Frame 54,"In this frame, a man in a black leather jacket and glasses is accepting an award, with a golden statuette in his hand."
Frame 55,"Here’s a one-sentence summary of the image: A man wearing glasses and a black leather jacket holds a shiny, metallic object (likely a gun) with a serious expression."
Frame 56,"A man in a dark suit is intensely listening to a phone call, appearing worried or distressed."
Frame 57,"Here's a one-sentence summary of the image: A man in a suit is visibly startled and listens intently to a phone call, his hand raised to his ear as if reacting to urgent news."
Frame 58,"Here’s a one-sentence summary of the image: A man in a dark suit is intently speaking on a cell phone, his expression suggesting urgency or concern."
Frame 59,"Here’s a one-sentence summary of the image: A man in a dark suit is intently listening to a conversation on his cell phone, with a serious and focused expression."
Frame 60,"Here’s a one-sentence summary of the image: A woman with a frightened expression is holding a cell phone, seemingly in a tense or distressed conversation."
Frame 61,"Here's a one-sentence summary of the image: A young woman with a frightened expression is holding a phone to her ear, likely in a tense or unsettling situation."
Frame 62,"Here’s a one-sentence summary of the image: A woman with a terrified expression is holding a telephone to her ear, seemingly in a moment of distress or shock."
Frame 63,"Here’s a one-sentence summary of the image: A man in glasses with a concerned expression is looking down at a hand, likely reacting to something he is seeing."
Frame 64,"Here’s a one-sentence summary of the image: A man wearing glasses is shown with a distressed expression, with a hand partially visible near his face, suggesting a moment of tension or surprise."
Frame 65,"Here’s a one-sentence summary of the image: A young woman with a startled expression is holding a phone to her ear, appearing anxious or alarmed."
Frame 66,"A young woman appears startled and frightened, clutching her face with her hand as she looks toward something unseen."
Frame 67,"Here’s a one-sentence summary of the image: A young woman with a startled expression and wide eyes looks towards the camera in a dimly lit, cluttered room."
Frame 68,"Here’s a one-sentence summary of the image: A man in a black leather jacket and glasses stares intently at a metal object on a dark, textured background."
Frame 69,"In this frame, a man in a suit with glasses is observing a young man with blonde hair closely, suggesting an intense and potentially scrutinizing moment."
Frame 70,"Here’s a one-sentence summary of frame 70: A woman with blonde hair leans in close to a man in a black coat, with a silver object in his hand."
Frame 71,"The frame shows a dark, blurry view of a room with a gray/blue object (likely a door or panel) visible at the top."
Frame 72,"In this frame, a man and a woman are both looking upwards with intense expressions, seemingly gazing at something beyond the viewer’s view."
Frame 73,"In this frame, a man in a red jacket stares intently upwards as a woman raises her head, her face focused on something above."
Frame 74,A woman screams in terror as Jason Voorhees reaches out to grab her with his machete.
Frame 75,"Here’s a one-sentence summary of the image: A serious-looking Black man in glasses and a dark turtleneck sits attentively in a room, gazing directly at the camera."
Frame 76,Here's a one-sentence summary of frame 76: A man wearing glasses and a dark jacket stares intently with a surprised and slightly shocked expression.
Frame 77,"In this frame, a man in a red suit is intently examining a small, metallic toy robot held by a young girl."
Frame 78,"In this frame, a person is suspended from a complex network of metal chains and wires, seemingly in a state of restraint or experimentation."
Frame 79,"Here's a one-sentence summary of the image: A man in glasses with a serious expression intently looks upward, suggesting contemplation or observation."
Frame 80,Here’s a one-sentence summary of the image: A man wearing glasses and a blue shirt looks intently at the camera with a serious expression.
Frame 81,"In this frame, a man with a shocked expression is being violently grabbed by an unseen force, likely a hand or arm, in a dark and tense scene."
Frame 82,"In this blurry frame, a dark figure's face is partially visible with a white object (possibly a mask or part of a costume) superimposed over the top."
Frame 83,"A young woman with blonde hair is being held by a man in a dark blue jacket, with a red shirt visible behind him."
Frame 84,"In this frame, a woman with blonde hair is in a violent struggle, with a man in blue holding her close while she appears to be screaming."
Frame 85,"In this frame, a woman is violently restrained by a man, with her mouth open in a scream."
Frame 86,"In this frame, a man wearing glasses and a blue shirt appears startled and slightly disgusted while looking at something off-camera."
Frame 87,Here’s a one-sentence summary of the image: A young Black man wearing glasses looks intently toward the viewer with a slightly worried expression.
Frame 88,"In this blurry frame, an elderly man with dark hair and several earrings is closely examining a small, ornate object – likely a weapon – with intense focus."
Frame 89,"The frame shows a dark, metallic panel with a red LED display flashing the letter “L”."
Frame 90,"The frame shows a dark, empty hallway with a single door on the right side, suggesting a moment of suspense or anticipation within the video."
Frame 91,"In a chaotic scene, a man is forcefully holding a woman down while another man watches."
Frame 92,"In this frame, a man in a red jacket is seen forcefully holding a young girl down, likely during an abduction or violent encounter."
Frame 93,"In a tense scene from ""The Shining,"" a man is aggressively pulling a man out from under a table, seemingly in a violent struggle."
Frame 94,"In this frame, a dark, metallic wall is visible, with streaks of dirt and grime running down it, set against a warm brown wall."
Frame 95,"The frame shows a dark, vertically-striped wall, partially obscured by a warm, brown-toned figure, suggesting a sense of confinement or an unusual perspective."
Frame 96,"In this frame, a shadowy figure, presumably Saul Goodman, is partially visible through a dark doorway, with hands reaching towards him."
Frame 97,"In this frame, Chadwick Boseman, as James Bond, is holding a gun, seemingly preparing to shoot."
Frame 98,"In this frame, a man wearing glasses and a dark jacket is in a struggle, with a gun pointed towards him."
Frame 99,"The video shows a dark, metallic panel with a red light displaying the letter ""L."""
Frame 100,"The frame shows a dark, metallic panel with a digital display showing the number “1” in bright red lights."
Frame 101,"Here's a one-sentence summary of the image: A man is being forcibly held against his will, with multiple hands gripping his head and neck in a tight, unsettling embrace."
Frame 102,A man with glasses and a grey beard is being held against a dark background by two hands.
Frame 103,"In this dark frame, a shadowy figure's face is partially visible within a doorway, creating an unsettling and ambiguous image."
Frame 104,"The frame shows a distorted, shadowy figure with long, dark hair emerging from a doorway, partially obscured by darkness and with a grim expression."
Frame 105,"The frame shows a blurry, dark interior with a shadowy figure seen from a low angle, suggesting a sense of unease and potential danger."
Frame 106,"In this dark shot, a shadowy figure appears to be reaching out from behind a set of dark, wooden bars."
